seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
28,Roger,Wallace,56,Ojugik Lane,Sonbofra,VA,00948,$3561.93,GREEN,11/28/1984
29,Mason,McLaughlin,45,Ubci View,Janudju,FL,78207,$1232.05,GREEN,09/12/1959
30,Jeff,Duncan,45,Jajaj Heights,Azatoku,GA,31108,$8488.14,GREEN,08/17/1943
31,Josie,Daniel,47,Igeba Circle,Vudsoloja,AZ,64421,$618.54,WHITE,09/11/2001
32,Ralph,Guzman,38,Vukah Way,Maizenaz,IN,16186,$8307.56,YELLOW,01/12/2063
33,Sally,Mann,59,Regeb Key,Naucewec,MN,70729,$8754.08,BLUE,01/23/2039
34,Jerry,Wade,43,Bubas Heights,Femdotud,OK,56157,$7560.08,GREEN,04/04/1935
35,Mark,Park,54,Wice Heights,Cukdupho,ID,97152,$4518.95,WHITE,02/17/2067
36,Leo,Baker,30,Ugwet Drive,Tivikrul,SC,14808,$5075.86,GREEN,05/02/1939
37,Alice,Andrews,45,Piuho Park,Vekighi,OK,87776,$3453.93,BLUE,08/16/2060
38,Jennie,Washington,26,Utna Park,Ilinoid,NM,76418,$8058.66,GREEN,09/11/2064
39,Alta,Roy,60,Kepa Loop,Piofiva,MA,32983,$2147.66,RED,02/09/1928
40,Adelaide,Grant,30,Icci Avenue,Towgehej,MO,81303,$6926.68,WHITE,10/06/1982
41,Ryan,Jordan,57,Ralsu River,Hifocif,AZ,83143,$9999.78,YELLOW,03/19/2027
42,Carrie,Wise,22,Udubas Key,Aldakih,SD,86376,$6378.36,WHITE,05/12/1933
43,Rena,Silva,54,Tese Lane,Higiti,WY,00602,$9105.96,YELLOW,12/03/1951
44,Bessie,Cain,22,Manop Park,Hifono,CT,74079,$8514.89,RED,01/24/1960
45,Juan,Blair,61,Gocta Trail,Desiwasi,TN,23936,$4782.48,YELLOW,04/30/1964
46,Louis,Roberson,21,Luwo Boulevard,Zoladte,OK,68778,$5316.46,RED,10/31/1942
47,Dean,McKenzie,31,Gavri Circle,Negguame,VA,39551,$7926.64,YELLOW,10/15/2055
48,Margaret,Sharp,26,Uhnef Boulevard,Fobzuhi,FL,84851,$7030.68,WHITE,07/31/1908
49,Leroy,Cobb,47,Avawij Drive,Filijagu,AK,01976,$384.77,BLUE,12/04/1933
50,Lulu,Young,35,Kucsum Ridge,Pamnadka,MT,08830,$6097.91,YELLOW,05/31/2044
51,Grace,Hodges,41,Adnu Road,Acoomva,WY,61754,$9777.17,BLUE,09/09/1944
52,Flora,Garcia,34,Kitu Center,Pimakozoj,IL,57698,$886.21,WHITE,05/17/2034
53,Herbert,Gibbs,32,Soton Key,Cotkuvom,AK,75039,$8650.73,BLUE,11/14/1919
54,Howard,Schwartz,25,Ugti Key,Egkeken,DC,01225,$6811.96,YELLOW,06/10/2013
55,William,Weber,35,Fiog Extension,Zihiso,OH,29730,$6423.58,BLUE,04/07/2049
56,Essie,Ingram,59,Ifwu Road,Ogatauwa,VT,72898,$2586.60,WHITE,11/04/2009
57,Ola,Gill,39,Unoid Park,Vizocnen,VA,54085,$1849.31,YELLOW,08/19/2007
58,Kevin,Pena,27,Malveb Terrace,Bugituz,UT,72562,$7369.21,WHITE,11/07/1990
59,Isabel,Jennings,40,Oleze Manor,Roehfan,AK,94109,$9763.19,RED,09/10/1987
60,Gussie,Baldwin,18,Mihkik Boulevard,Cuucihe,CA,45488,$1464.53,RED,09/22/1909
61,Alta,Bennett,22,Jusem Junction,Nefuzro,VT,37547,$9101.37,RED,01/20/1965
62,Mark,Atkins,24,Gocih Junction,Sohpefa,WY,99945,$7195.67,RED,09/04/1963
63,Linnie,Wheeler,24,Azcek Key,Zituni,RI,73302,$4636.68,WHITE,09/03/1947
64,Frank,Love,33,Senak Trail,Pimdirfam,MO,76605,$5982.45,GREEN,02/08/1972
65,Louisa,Reid,54,Vibeg Lane,Ahalcot,MI,13541,$6569.74,YELLOW,11/19/2022
66,Warren,Williams,29,Bovsa Ridge,Rophuci,MN,08453,$8057.94,GREEN,08/04/1938
67,Clayton,Larson,26,Biksag View,Jespeezo,WY,89627,$1360.78,RED,02/05/2002
68,Philip,Carpenter,32,Bifji Pike,Jafuvib,WV,31870,$7363.68,WHITE,09/29/1927
69,Mae,Williamson,26,Ejomow Parkway,Bufliop,GA,94602,$4910.08,GREEN,10/31/1900
70,Ida,Malone,55,Hodpi Junction,Molfohdis,NM,34517,$4955.26,YELLOW,11/19/1975
71,Lena,Collins,32,Hobe Heights,Wubguti,WV,22296,$9276.42,BLUE,07/03/2065
72,Hannah,Little,25,Ajuji Terrace,Nizotcip,CO,98213,$4510.18,GREEN,03/28/1935
73,Lucille,Greene,21,Zofes Extension,Birciwcir,NY,23953,$267.29,RED,06/09/1917
74,Della,Carroll,47,Vimgob Pass,Ejtawu,PA,28792,$1282.02,BLUE,06/22/2068
75,Jeanette,Boyd,33,Jazne Boulevard,Mefwiljif,AZ,10103,$8905.06,RED,12/15/2037
76,Ellen,Lynch,65,Tohi Highway,Utehobmog,NY,35737,$6320.58,YELLOW,08/09/1948
77,Lora,Rodgers,52,Urre Trail,Renabo,NH,62415,$5726.17,RED,10/24/1917
78,Micheal,Howard,40,Doub Terrace,Inzocema,OH,56085,$2061.19,WHITE,12/21/1990
79,Lawrence,Casey,55,Ozauga Glen,Ojohiza,AZ,36042,$7697.82,BLUE,09/30/1956
80,Emma,Herrera,60,Zafpa Junction,Biapva,RI,18885,$9855.52,YELLOW,09/17/2024
81,Lawrence,Riley,43,Fuzcov View,Valsuosi,MD,92033,$3057.99,WHITE,03/08/1912
82,Dorothy,Herrera,28,Ticcib Ridge,Gepalle,TN,39216,$8040.40,GREEN,05/17/1944
83,Olive,Sharp,38,Mubha Ridge,Tuevbu,FL,18308,$2668.72,GREEN,12/04/2027
84,Jesse,Luna,32,Vowig Lane,Niwjife,SD,40816,$1689.85,WHITE,03/26/2002
85,Effie,Frank,25,Eduah Avenue,Zosaji,OK,45534,$8116.07,BLUE,01/04/1980
86,Cornelia,Barton,27,Caki Parkway,Nekbewi,ND,21787,$7333.13,RED,12/12/2043
87,Beatrice,Alexander,25,Arpam Loop,Madizal,AZ,33374,$3149.46,WHITE,03/13/1982
88,Jerome,Lucas,57,Asoce Court,Gunzudwo,NC,35190,$9532.98,YELLOW,04/05/1963
89,Gilbert,Cruz,32,Fukpo Avenue,Ivekevig,NC,08034,$7177.76,WHITE,08/16/2056
90,Adrian,Ward,32,Cike Lane,Nulekcul,RI,85257,$9420.17,RED,04/18/1901
91,Ella,Oliver,45,Retu Junction,Imguppec,NC,30321,$5501.58,GREEN,03/20/2056
92,Eddie,Bishop,22,Ejeesa Pike,Rivovimu,NE,30815,$9706.41,YELLOW,08/16/2012
93,Annie,Doyle,24,Tevi Glen,Opkasba,WV,60151,$1802.14,YELLOW,09/09/1919
94,Victor,Moody,47,Lewkap River,Mifilgez,PA,12654,$5619.17,BLUE,02/09/2016
95,Alexander,Cannon,55,Besi Heights,Ozhomzi,LA,29383,$3861.88,GREEN,08/31/2036
96,Dean,Ortiz,39,Gawuh Heights,Wudobat,WA,43039,$979.76,WHITE,06/07/2027
97,Vernon,Johnson,19,Rimmob Heights,Jibizuofo,NH,94981,$3519.47,BLUE,01/11/2027
98,Thomas,Smith,37,Modfi Boulevard,Risaluru,NH,83803,$1825.40,RED,04/27/2030
99,Dorothy,Harris,65,Jizih Lane,Wiwneda,OR,80351,$2367.26,YELLOW,05/20/2047
100,Hunter,Larson,43,Luvnu Avenue,Bojegoih,IA,20183,$9553.42,GREEN,07/07/1987
